777 Surge™,777 电光火石,SMG_777Surge,slot
Bolt X UP™,闪电 X UP™,SMG_boltXUP,slot
Lucky Leprechaun Clusters,幸运矮妖精集群奖金,SMG_luckyLeprechaunClusters,slot
Immortal Romance Video Bingo,不朽情缘视频宾果,SMG_immortalRomanceVideoBingo,slot
Mask of Amun,阿蒙的面具,SMG_maskOfAmun,slot
Divine Riches Helios,神圣财富 - 赫利俄斯,SMG_divineRichesHelios,slot
WP Gaple,王牌Gaple,SFG_WPGaple,Poker
Wildfire Wins,野火灼金,SMG_wildfireWins,slot
Circus Jugglers Jackpots,⻢戏小丑累积奖金,SMG_circusJugglersJackpots,slot
Día del Mariachi Megaways™,墨西哥流浪乐队节,SMG_diaDelMariachiMegaways,slot
Match Day,比赛日,SMG_matchDay,Poker
Western Gold 2 ,西域黄金2,SMG_westernGold2,slot
AbraCatDabra,猫咪咒语,SMG_abraCatDabra,slot
Wild Wild Romance,百搭狂野浪漫,SMG_wildWildRomance,slot
Lightning Fortunes,闪电财富,SMG_lightningFortunes,slot
25000 Talons,25000鹰爪,SMG_25000Talons,slot
Cash 'N Riches Megaways™,现金与财富 Megaways™,SMG_cashNRichesMegaways,slot
15 Tridents™,15个三叉戟,SMG_15Tridents,slot
Dungeons and Diamonds™,地下城与钻石,SMG_dungeonsAndDiamonds,slot
The Great Albini 2,伟大 魔术师2,SMG_theGreatAlbini2,slot
Aztec Falls,阿兹特克天降大奖,SMG_aztecFalls,slot
Masters of Valhalla,瓦尔哈拉的统治者,SMG_mastersOfValhalla,slot
Doki Doki Parfait,心动芭菲,SMG_dokiDokiParfait,slot
WP Xoc Dia,王牌 色碟,SFG_WPXocDia,Poker
Oni Hunter Night Sakura,鬼狩夜樱,SMG_oniHunterNightSakura,slot
Fishin' Pots Of Gold,金罐钓钓乐,SMG_fishinPotsOfGold,slot
Mega Money Wheel,巨额现金转盘,SMG_megaMoneyWheel,slot
Wheel of Winners,转盘大赢家,SMG_switchWheelOfWinners,slot
Kings of Crystals,水晶之王,SMG_kingsOfCrystals,slot
WP Fish Prawn Crab,王牌鱼虾蟹,SFG_WPFishPrawnCrab,Poker
Break Away Shootout,冰球突破 点球大战,SMG_breakAwayShootout,slot
Hyper Strike™ HyperSpins™,究极闪电 HyperSpins™,SMG_hyperStrikeHyperSpins,slot
Jurassic Park Gold,Jurassic Park:黄金,SMG_jurassicParkGold,slot
5 Star Knockout,5星淘汰,SMG_5StarKnockout,slot
Bust the Mansion,大宅神偷,SMG_bustTheMansion,slot
Agent Jane Blonde Max Volume,特工简·布隆德最大音量,SMG_agentJaneBlondeMaxVolume,slot
Hyper Star,超级 星星,SMG_hyperStar,slot
Basketball Star Wilds,篮球巨星百搭,SMG_basketballStarWilds,slot
Arctic Enchantress™,北极女巫,SMG_arcticEnchantress,slot
Kodiak Kingdom,科迪亚克王国,SMG_kodiakKingdom,slot
Big Boom Riches,财富大爆炸,SMG_bigBoomRiches,slot
Squealin' Riches,喝彩的旺财,SMG_squealinRiches,slot
4 Diamond Blues Megaways™,4钻石蓝调 - Megaways™,SMG_4DiamondBlues,slot
9 Masks of Fire™ HyperSpins™,9 个烈焰面具 HyperSpins™,SMG_9masksOfFireHyperSpins,slot
Cat Clans,猫咪部落,SMG_catClans,slot
Book of Mrs Claus,圣诞老婆婆之书,SMG_bookOfMrsClaus,slot
Lucky Clucks,幸运鸡,SMG_luckyClucks,slot
Cossacks: The Wild Hunt,哥萨克勇士：荒野狩猎,SMG_cossacksTheWildHunt,slot
Chronicles of Olympus X Up,奥林匹斯編年史 X UP,SMG_chroniclesOfOlympusXUP,slot
Dragons Breath,龙息之焰,SMG_dragonsBreath,slot
WWE Legends,WWE摔角传奇,SMG_wweLegendsLinkWin,slot
Fortune Rush,瑞龙献宝,SMG_fortuneRush,slot
10000 Wishes,10000个愿望,SMG_10000Wishes,slot
108 Heroes,108好汉,SMG_108Heroes,slot
108 Heroes Multiplier Fortunes,一零八好汉 乘数财富,SMG_108heroesMultiplierFortunes,slot
5 Reel Drive,5轴驱动,SMG_5ReelDrive,slot
777 Mega Deluxe™,777绝对豪华,SMG_777MegaDeluxe,slot
777 Royal Wheel,777皇家幸运轮,SMG_777RoyalWheel,slot
8 Golden Skulls of Holly Roger Megaways ™,8个Holly Roger™金骷髅Megaways™,SMG_8GoldenSkullsOfHollyRoger,slot
9 Blazing Diamonds,9颗炽热钻石,SMG_9BlazingDiamonds,slot
9 Blazing Diamonds Wowpot,9颗炽热钻石 Wowpot,SMG_9BlazingDiamondsWowpot,slot
9 Masks of Fire,9个烈焰面具,SMG_9masksOfFire,slot
9 Pots of Gold,9罐黄金,SMG_9potsOfGold,slot
A Dark Matter,黑暗阴影,SMG_aDarkMatter,slot
A Tale of Elves,精灵传说,SMG_aTaleOfElves,slot
Absolootly Mad™: Mega Moolah,Mega Moolah 绝对疯狂,SMG_absolootlyMadMegaMoolah,slot
ActionOps: Snow and Sable,秘密行动-雪诺和塞布尔,SMG_actionOpsSnowAndSable,slot
Adventure Palace,奇遇宫殿,SMG_adventurePalace,slot
Adventures Of Doubloon Island™,金币岛大冒险,SMG_adventuresOfDoubloonIsland,slot
Africa X UP™,非洲 X UP™,SMG_africaXUP,slot
African Legends,非洲传奇,SMG_africanLegends,slot
Age of Conquest,征服时代,SMG_ageOfConquest,slot
Age of Discovery,探索时代,SMG_ageOfDiscovery,slot
